Uniq ID,City,Sub City,Food Rate,Staff Rate,Environment Rate,Latitude,Longitude,Image,Description,Restaurant name,Most reviewed foods
1,Kandy,Akurana,3.5,2.5,3.4,7.3689,80.6131,https://planeterra.org/wp-content/uploads/2020/07/72.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Sthree,Rice and Curry
2,Kandy,Delthota,3.5,3.8,4.1,7.1729,80.6956,https://windloft-retreat.kandyhotelsnow.com/data/Pics/OriginalPhoto/1743/174315/174315870/windloft-retreat-hotel-deltota-pic-20.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Windloft Retreat,Hoppers (Appa)
3,Kandy,Doluwa,4.2,3.2,3.7,7.1862,80.6063,https://the-kandy-samadhicentre-hotel-digana.booked.net/data/Photos/OriginalPhoto/11851/1185106/1185106174/The-Kandy-Samadhicentre-Hotel-Narampanawa-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Samadhi Restaurant ,Kottu Roti
4,Kandy,Gagawata Korale,3.8,4,4.3,7.2932,80.635,https://youimg1.tripcdn.com/target/ww0n1f000001gp024FA11.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Botanic Gardens Restaurant & Cafe,String Hoppers (Idiyappam)
5,Kandy,Gangaihala Korale,4,3.9,4,7.1326,80.5683,https://lh3.googleusercontent.com/p/AF1QipPk4umkDKKATDjIe34frEsTm-0JxNVdUc5_h15u=s1600-h380,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Edan Rest,Pol Sambol
6,Kandy,Harispattuwa,4.5,4.1,4.4,7.328,80.5875,https://q-xx.bstatic.com/xdata/images/hotel/max1000/386328511.jpg?k=b0d93e195220f5bdcfc76903ea294b0e0839402abe5f9b097892c7cff172ad5c,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",The Brick House,Lamprais
7,Kandy,Hatharaliyadda,3.6,2.9,3.1,7.3358,80.4712,https://www.yamu.lk/wp-content/uploads/2022/02/podium-restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Podium Restaurant & Bar,Devilled dishes
8,Kandy,Kundasale,3.9,3.5,3.6,7.3096,80.7104,https://www.lankanames.lk/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-29-at-10.06.13-AM-1-768x1024.jpeg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Yewon Restaurant & Bakers in Kundasale,Biryani
9,Kandy,Medadumbara,4.1,3.7,3.9,7.2788,80.81,https://i.travelapi.com/lodging/16000000/15450000/15440300/15440298/4d5a7108_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Santani Wellness ,Pittu
10,Kandy,Minipe,3.3,2.8,3.2,7.2275,81.0009,https://absolutesrilanka.asia/files/accommodation/246/gallery/5581c1e561fb.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Palm Paradise,Watalappan
